Customer ID,Customer Type
1210,medium budget
1210,medium budget
1210,medium budget
1210,low budget
1210,low budget
1210,low budget
1211,low budget
1212,medium budget
1213,medium budget
1214,low budget
1215,medium budget
1215,low budget
1216,low budget
1216,low budget
1217,low budget
1218,low budget
1219,low budget
1220,low budget
1221,low budget
1222,low budget
1223,medium budget
1224,medium budget
1225,low budget
1226,low budget
1228,medium budget
1230,low budget
1231,medium budget
1233,low budget
1234,low budget
1235,low budget
1236,low budget
1237,low budget
1237,low budget
1238,medium budget
1239,low budget
1240,medium budget
1241,medium budget
1243,low budget
1244,medium budget
1245,medium budget
1246,medium budget
1254,low budget
1248,low budget
1249,low budget
1250,low budget
1251,low budget
1253,low budget
1256,low budget
1257,medium budget
1259,medium budget
1260,low budget
1261,medium budget
1263,low budget
1264,low budget
1266,medium budget
1267,medium budget
1268,medium budget
1269,low budget
1270,low budget
1271,low budget
1272,medium budget
1275,medium budget
1276,low budget
1277,medium budget
1278,medium budget
1279,low budget
1280,low budget
1281,medium budget
1281,medium budget
1281,medium budget
1282,medium budget
1283,medium budget
1283,medium budget
1283,medium budget
1284,low budget
1286,low budget
1287,low budget
1288,medium budget
1289,low budget
1289,medium budget
1289,low budget
1289,low budget
1289,low budget
1289,low budget
1291,low budget
1292,low budget
1293,medium budget
1294,low budget
1295,low budget
1295,low budget
1296,low budget
1297,low budget
1298,low budget
1300,medium budget
1301,medium budget
1302,medium budget
1303,low budget
1304,medium budget
1305,low budget
1305,low budget
1305,low budget
1306,low budget
1307,low budget
1308,low budget
1309,medium budget
1309,medium budget
1311,low budget
1312,low budget
1313,medium budget
1313,luxury/high budget
1313,luxury/high budget
1313,low budget
1315,low budget
1316,low budget
1317,medium budget
1318,medium budget
1319,medium budget
1320,low budget
1322,low budget
1324,low budget
1325,low budget
1326,low budget
1328,low budget
1329,medium budget
1329,medium budget
1330,low budget
1331,low budget
1333,medium budget
1334,medium budget
1335,low budget
1336,medium budget
1337,medium budget
1338,low budget
1339,medium budget
1339,medium budget
1340,medium budget
1342,low budget
1343,medium budget
1348,medium budget
1349,medium budget
1350,low budget
1351,low budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1352,luxury/high budget
1353,low budget
1354,low budget
1354,low budget
1355,low budget
1355,low budget
1356,low budget
1357,low budget
1357,low budget
1358,low budget
1358,low budget
1359,medium budget
1360,low budget
1361,low budget
1362,low budget
1364,low budget
1365,medium budget
1365,low budget
1366,low budget
1367,low budget
1368,medium budget
1369,medium budget
1370,low budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,low budget
1371,low budget
1371,low budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,medium budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,medium budget
1371,medium budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1371,medium budget
1371,medium budget
1371,low budget
1371,low budget
1371,low budget
1371,low budget
1372,medium budget
1372,medium budget
1372,medium budget
1373,low budget
1374,low budget
1374,medium budget
1375,low budget
1376,medium budget
1378,low budget
1379,low budget
1381,medium budget
1382,low budget
1384,medium budget
1385,medium budget
1385,medium budget
1385,medium budget
1385,medium budget
1386,medium budget
1387,medium budget
1388,low budget
1389,low budget
1390,medium budget
1390,medium budget
1391,medium budget
1392,low budget
1393,medium budget
1394,medium budget
1395,low budget
1396,medium budget
1397,low budget
1399,low budget
1401,medium budget
1402,low budget
1403,medium budget
1404,low budget
1405,low budget
1406,low budget
1407,medium budget
1409,low budget
1410,medium budget
1411,low budget
1412,medium budget
1413,low budget
1414,low budget
1415,low budget
1417,medium budget
1418,low budget
1419,medium budget
1420,medium budget
1420,medium budget
1420,medium budget
1420,medium budget
1420,medium budget
1420,medium budget
1420,medium budget
1420,low budget
1420,low budget
1420,low budget
1420,low budget
1420,low budget
1420,luxury/high budget
1420,luxury/high budget
1420,luxury/high budget
1420,luxury/high budget
1420,luxury/high budget
1421,low budget
1422,low budget
1423,medium budget
1424,low budget
1426,medium budget
1427,medium budget
1428,low budget
1429,low budget
1431,low budget
1432,medium budget
1433,low budget
1434,low budget
1436,low budget
1437,medium budget
1438,low budget
1439,medium budget
1441,low budget
1442,low budget
1443,low budget
1445,low budget
1446,medium budget
1447,low budget
1452,low budget
1453,medium budget
1454,medium budget
1454,medium budget
1455,low budget
1456,low budget
1457,medium budget
1457,medium budget
1459,medium budget
1459,medium budget
1459,medium budget
1460,medium budget
1461,low budget
1462,medium budget
1463,low budget
1465,medium budget
1468,low budget
1470,medium budget
1471,low budget
1472,low budget
1473,medium budget
1475,medium budget
1475,medium budget
1477,low budget
1478,low budget
1479,medium budget
1480,low budget
1481,low budget
1482,medium budget
1483,low budget
1485,medium budget
1486,low budget
1488,medium budget
1488,medium budget
1489,medium budget
1489,medium budget
1489,medium budget
1491,low budget
1492,medium budget
1493,medium budget
1493,medium budget
1494,low budget
1495,low budget
1496,low budget
1497,medium budget
1498,medium budget
1499,medium budget
1500,medium budget
1501,low budget
1502,medium budget
1503,medium budget
1503,medium budget
1504,medium budget
1505,low budget
1506,medium budget
1506,medium budget
1507,medium budget
1508,medium budget
1509,low budget
1510,medium budget
1511,low budget
1511,low budget
1512,medium budget
1513,low budget
1514,low budget
1515,medium budget
1517,medium budget
1517,medium budget
1517,medium budget
1518,medium budget
1518,low budget
1518,low budget
1519,medium budget
1520,medium budget
1521,low budget
1523,medium budget
1524,medium budget
1525,medium budget
1526,low budget
1527,low budget
1528,low budget
1529,low budget
1531,low budget
1532,low budget
1533,low budget
1533,low budget
1533,low budget
1533,low budget
1533,low budget
1534,low budget
1535,low budget
1536,low budget
1536,low budget
1537,low budget
1537,low budget
1537,low budget
1538,low budget
1539,low budget
1539,low budget
1541,low budget
1542,low budget
1544,low budget
1545,low budget
1546,low budget
1546,low budget
1546,low budget
1550,low budget
1551,medium budget
1551,medium budget
1552,low budget
1553,low budget
1554,low budget
1555,low budget
1556,low budget
1557,medium budget
1558,medium budget
1559,low budget
1560,low budget
1561,low budget
1563,low budget
1563,low budget
1564,low budget
1565,low budget
1566,low budget
1567,low budget
1567,low budget
1568,low budget
1569,low budget
1571,low budget
1572,low budget
1573,low budget
1575,medium budget
1576,medium budget
1576,medium budget
1577,low budget
1578,low budget
1579,low budget
1579,low budget
1579,low budget
1580,low budget
1580,low budget
1580,low budget
1581,low budget
1582,low budget
1583,low budget
1583,low budget
1584,low budget
1585,low budget
1586,medium budget
1588,medium budget
1589,low budget
1590,low budget
1591,low budget
1593,medium budget
1594,low budget
1595,low budget
1595,medium budget
1595,medium budget
1595,low budget
1596,low budget
1597,low budget
1598,low budget
1600,low budget
1601,medium budget
1601,medium budget
1602,medium budget
1603,low budget
1604,medium budget
1605,low budget
1607,low budget
1608,medium budget
1609,low budget
1610,low budget
1612,low budget
1613,medium budget
1614,low budget
1615,low budget
1616,medium budget
1616,medium budget
1616,medium budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1616,low budget
1617,low budget
1617,low budget
1618,medium budget
1619,medium budget
1619,low budget
1619,low budget
1620,low budget
1620,low budget
1621,low budget
1622,medium budget
1623,low budget
1624,low budget
1626,low budget
1626,low budget
1627,medium budget
1628,low budget
1629,low budget
1630,low budget
1631,medium budget
1633,low budget
1634,low budget
1635,low budget
1635,low budget
1636,medium budget
1637,low budget
1640,low budget
1641,medium budget
1642,low budget
1643,medium budget
1643,low budget
1644,medium budget
1645,low budget
1646,medium budget
1647,medium budget
1648,low budget
1649,medium budget
1650,low budget
1655,medium budget
1656,low budget
1657,low budget
1658,low budget
1659,low budget
1660,low budget
1661,low budget
1662,low budget
1663,medium budget
1665,medium budget
1667,low budget
1668,low budget
1669,medium budget
1669,medium budget
1670,low budget
1671,low budget
1672,medium budget
1674,low budget
1675,low budget
1676,low budget
1677,low budget
1679,low budget
1679,medium budget
1680,low budget
1682,medium budget
1682,medium budget
1683,low budget
1684,medium budget
1684,low budget
1686,low budget
1688,low budget
1689,low budget
1691,low budget
1691,low budget
1692,low budget
1693,low budget
1694,medium budget
1696,low budget
1698,medium budget
1703,medium budget
1704,low budget
1706,low budget
1708,low budget
1709,low budget
1711,medium budget
1711,medium budget
1713,low budget
1714,low budget
1714,low budget
1715,low budget
